"concept_id","concept_name","domain_id","vocabulary_id","concept_class_id","standard_concept","concept_code","valid_start_date","valid_end_date","invalid_reason"
35750851,"Warfarin 1 MG/ML Oral Solution by A A H","Drug","RxNorm Extension","Marketed Product","S","OMOP2752312","2017-08-24","2099-12-31",
41407042,"0.4 ML Enoxaparin 10 UNT/ML Prefilled Syringe [Klexane] Box of 50","Drug","RxNorm Extension","Quant Branded Box","S","OMOP2605004","2017-08-24","2099-12-31",
2725340,"Bypass Coronary Artery, Three Arteries from Aorta with Nonautologous Tissue Substitute, Percutaneous Endoscopic Approach","Procedure","ICD10PCS","ICD10PCS","S","02124KW","2014-04-22","2099-12-31",
44830503,"Torus fracture, tibia alone","Condition","ICD9CM","5-dig billing code",,"823.40","1970-01-01","2099-12-31",
45230263,"0.4 ML Fondaparinux sodium 12.5 MG/ML Prefilled Syringe [Arixtra]","Drug","NDC","11-digit NDC",,"00007323211","2009-10-01","2099-12-31",
40719236,"0.6 ML Dalteparin 25000 UNT/ML Injectable Solution Box of 5 by J M McGill","Drug","RxNorm Extension","Marketed Product","S","OMOP4738037","2018-06-04","2099-12-31",
40868001,"Dalteparin 25 UNT/ML Injectable Solution","Drug","RxNorm Extension","Clinical Drug","S","OMOP2065963","2017-08-24","2099-12-31",
41410900,"0.6 ML Enoxaparin 100 MG/ML Prefilled Syringe Box of 100","Drug","RxNorm Extension","Quant Clinical Box","S","OMOP2608862","2017-08-24","2099-12-31",
43803627,"Enoxaparin 10000 UNT/ML Injectable Solution","Drug","RxNorm Extension","Clinical Drug","S","OMOP686457","2017-08-24","2099-12-31",
35765757,"apixaban 2.5 MG Delayed Release Oral Tablet [Eliquis] Box of 20 by Waymade","Drug","RxNorm Extension","Marketed Product","S","OMOP2767218","2017-08-24","2099-12-31",
21105425,"Warfarin 0.5 MG Oral Tablet Box of 28 by Actavis","Drug","RxNorm Extension","Marketed Product","S","OMOP267627","2017-08-24","2099-12-31",
42902364,"Enoxaparin sodium 100 MG/ML Prefilled Syringe [Lovenox]","Drug","RxNorm","Branded Drug","S","1359477","2012-12-03","2099-12-31",
41407005,"0.4 ML Enoxaparin 10 UNT/ML Prefilled Syringe [Klexane] Box of 10 by Eurim-Pharm","Drug","RxNorm Extension","Marketed Product","S","OMOP2604967","2017-08-24","2099-12-31",
432752,"Subdural hemorrhage following injury with open intracranial wound AND brief loss of consciousness","Condition","SNOMED","Clinical Finding","S","29635000","1970-01-01","2099-12-31",
45766974,"Pathological fracture of femur due to neoplastic disease","Condition","SNOMED","Clinical Finding","S","704253003","2015-01-31","2099-12-31",
2108631,"Internal mammary artery graft performed for primary, isolated coronary artery bypass graft procedure (CABG)","Observation","CPT4","CPT4","S","4110F","2008-04-01","2099-12-31",
36880992,"Dalteparin 227 MG/ML Injectable Solution","Drug","RxNorm Extension","Clinical Drug","S","OMOP1003116","2017-08-24","2099-12-31",
41350715,"4 ML Dalteparin 2.5 UNT/ML Injectable Solution [Fragmin]","Drug","RxNorm Extension","Quant Branded Drug","S","OMOP2548677","2017-08-24","2099-12-31",
2514399,"Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A comprehensive history; A comprehensive examination; Medical decision making of high complexity. Counseling","Procedure","CPT4","CPT4","S","99215","1970-01-01","2099-12-31",
35785593,"0.5 ML Dalteparin 25000 UNT/ML Injectable Solution [Fragmin] Box of 5 by Pfizer","Drug","RxNorm Extension","Marketed Product","S","OMOP2787054","2017-08-24","2099-12-31",
44831375,"Unspecified antepartum hemorrhage, unspecified as to episode of care or not applicable","Condition","ICD9CM","5-dig billing code",,"641.90","1970-01-01","2099-12-31",
41191175,"Dalteparin 10 UNT/ML Injectable Solution [Fragmin] Box of 10","Drug","RxNorm Extension","Branded Drug Box","S","OMOP2389137","2017-08-24","2099-12-31",
43719795,"0.2 ML Dalteparin 25000 UNT/ML Injectable Solution Box of 20","Drug","RxNorm Extension","Quant Clinical Box","S","OMOP715249","2017-08-24","2099-12-31",
43702143,"0.4 ML Enoxaparin 100 MG/ML Injectable Solution Box of 100","Drug","RxNorm Extension","Quant Clinical Box","S","OMOP716601","2017-08-24","2099-12-31",
2107429,"Placement of proximal extension prosthesis for endovascular repair of descending thoracic aorta (eg, aneurysm, pseudoaneurysm, dissection, penetrating ulcer, intramural hematoma, or traumatic disruption); each additional proximal extension (List separatel","Procedure","CPT4","CPT4","S","33884","2006-02-13","2099-12-31",
4200387,"Arthroplasty, acetabular and proximal femoral, prosthetic replacement","Procedure","SNOMED","Procedure","S","53081006","1970-01-01","2099-12-31",
43627460,"5 ML Enoxaparin 10000 UNT/ML Injectable Solution Box of 5","Drug","RxNorm Extension","Quant Clinical Box","S","OMOP771175","2017-08-24","2099-12-31",
2721133,"Minimally invasive direct coronary artery bypass surgery involving mini-thoracotomy or mini-sternotomy surgery, performed under direct vision; using venous graft only, single coronary venous graft","Procedure","HCPCS","HCPCS","S","S2207","2000-01-01","2099-12-31",
44836421,"Other and unspecified superficial injury of elbow, forearm, and wrist, without mention of infection","Condition","ICD9CM","4-dig billing code",,"913.8","1970-01-01","2099-12-31",
45134801,"0.5 ML Fondaparinux sodium 5 MG/ML Prefilled Syringe [Arixtra]","Drug","NDC","11-digit NDC",,"35356007802","2009-10-01","2011-01-01","D"
21080282,"dabigatran etexilate 75 MG Oral Capsule [Pradaxa] by Waymade","Drug","RxNorm Extension","Marketed Product","S","OMOP278778","2017-08-24","2099-12-31",
41410292,"0.6 ML Enoxaparin 30 UNT/ML Prefilled Syringe [Clexane] Box of 24","Drug","RxNorm Extension","Quant Branded Box","S","OMOP2608254","2017-08-24","2099-12-31",
21059492,"150 ML Warfarin 1 MG/ML Oral Suspension by Alliance","Drug","RxNorm Extension","Marketed Product","S","OMOP326199","2017-08-24","2099-12-31",
44832775,"Closed fracture of epiphysis, lower (separation) of femur","Condition","ICD9CM","5-dig billing code",,"821.22","1970-01-01","2099-12-31",
43677986,"Enoxaparin 100 MG/ML Injectable Solution Box of 20","Drug","RxNorm Extension","Clinical Drug Box","S","OMOP686471","2017-08-24","2099-12-31",
45163695,"Warfarin Sodium 2.5 MG Oral Tablet","Drug","NDC","11-digit NDC",,"00339653912","2009-08-01","2013-09-01","D"
40891720,"Enoxaparin 15 UNT/ML [Clexane]","Drug","RxNorm Extension","Branded Drug Comp","S","OMOP2089682","2017-08-24","2099-12-31",
4046364,"Subarachnoid hemorrhage due to ruptured arteriovenous malformation","Condition","SNOMED","Clinical Finding","S","230718007","1970-01-01","2099-12-31",
